country,tipi1,tipi2,tipi3,tipi4,tipi5,tipi6,tipi7,tipi8,tipi9,tipi10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,family_size,stress_score,anxiety_score,depression_score,stress_category,anxiety_category,depression_category
IN,1,5,7,7,7,7,7,5,1,1,2,3,2,2,16,1,12,1,10,2,1,2,40,34,27,4,4,3
US,6,5,4,7,5,4,7,7,1,5,2,3,2,1,16,2,7,0,70,2,1,4,27,17,24,3,3,3
PL,2,5,2,2,5,6,5,5,3,2,2,3,2,2,17,1,4,3,60,1,1,3,17,12,39,1,2,4
US,1,1,7,4,6,4,6,1,6,1,1,3,2,1,13,2,4,5,70,2,1,5,16,17,16,1,3,2
MY,2,5,3,6,5,5,5,6,3,3,3,2,2,2,19,3,10,1,10,2,1,4,29,40,32,3,4,4
US,2,1,6,1,7,7,7,2,6,7,2,3,2,2,20,1,4,1,70,2,1,4,12,6,13,0,0,1
MX,2,5,6,5,3,2,6,3,5,5,2,3,2,2,17,1,7,2,60,2,1,4,14,19,31,0,3,4
GB,7,6,4,5,3,2,6,3,5,2,4,2,2,2,29,1,2,2,60,1,1,2,6,4,4,0,0,0
US,1,4,5,7,5,7,6,7,1,4,2,3,1,2,16,1,12,2,70,2,1,4,33,39,35,3,4,4
DE,1,7,5,7,5,7,1,2,1,7,1,1,2,2,18,1,2,2,60,2,1,3,34,28,42,4,4,4
US,5,3,6,6,3,4,4,7,5,7,1,2,1,1,15,1,6,1,60,2,1,1,24,2,14,2,0,2
US,6,5,6,6,6,2,5,3,3,3,2,1,2,1,18,1,6,1,60,2,1,2,27,20,19,3,4,2
US,5,1,4,6,5,5,7,6,2,1,3,0,2,1,20,1,1,1,60,2,1,2,18,10,19,1,2,2
EE,5,2,5,5,2,6,7,6,6,2,4,2,1,2,31,1,12,1,60,2,1,5,13,17,15,0,3,2
US,3,5,6,1,6,5,3,2,7,2,3,2,1,1,34,1,1,1,60,1,3,2,0,0,0,0,0,0
US,3,5,4,5,6,5,4,3,4,4,2,2,2,1,17,1,1,2,60,2,1,1,15,5,16,1,0,2
US,1,7,5,7,1,6,5,4,1,3,2,2,2,2,19,1,7,1,60,2,1,2,29,15,11,3,3,1
GB,1,4,4,0,7,5,4,4,3,1,3,3,2,1,18,1,12,1,60,2,1,5,12,3,14,0,0,2
US,2,7,7,1,6,5,4,7,6,2,2,1,1,1,19,3,2,1,60,2,1,1,14,2,14,0,0,2
US,2,2,5,4,6,7,4,6,3,6,2,3,2,1,19,1,4,2,50,2,1,2,14,8,23,0,1,3
US,7,1,3,6,6,1,7,6,1,1,1,1,2,1,15,1,4,1,60,2,1,5,17,3,10,1,0,1
US,1,6,5,7,2,6,2,7,2,7,1,2,1,1,15,1,6,1,60,2,1,1,27,3,21,3,0,3
CA,3,3,5,5,5,5,5,3,1,1,2,3,2,1,22,1,1,2,60,2,1,1,31,27,36,3,4,4
EC,1,5,5,6,3,6,5,3,3,5,2,3,2,2,19,1,4,1,70,2,1,3,24,13,18,2,2,2
AU,2,4,3,5,5,6,5,7,3,4,2,1,1,1,20,1,7,1,60,1,1,3,12,14,21,0,2,3
US,1,6,5,7,7,7,1,6,1,2,1,2,2,1,16,1,1,4,10,2,1,2,32,25,42,3,4,4
US,4,1,7,7,7,2,6,5,1,1,1,1,2,1,15,1,7,1,60,2,1,3,41,41,38,4,4,4
US,7,3,1,7,7,1,5,7,3,1,2,3,2,1,16,3,7,2,60,2,1,1,19,22,10,2,4,1
US,1,6,6,6,5,7,1,7,4,7,2,3,2,2,19,1,1,2,70,2,1,2,36,40,42,4,4,4
US,3,3,5,1,5,5,5,5,6,5,2,3,2,1,16,1,1,5,70,2,1,3,1,1,9,0,0,0
US,5,6,4,6,6,6,5,3,2,4,2,2,1,2,19,1,8,1,70,2,1,2,23,14,24,2,2,3
US,5,5,5,5,7,7,7,5,5,6,2,3,1,1,18,1,2,1,60,2,1,3,7,8,30,0,1,4
US,6,1,2,0,5,6,7,6,1,1,3,3,2,1,42,1,6,1,60,1,1,4,17,3,3,1,0,0
CA,5,7,5,4,6,2,5,5,2,1,2,1,2,2,15,1,1,1,60,2,1,2,22,8,10,2,1,1
FI,5,6,6,2,6,6,3,4,2,4,2,3,1,2,17,1,1,1,60,2,1,2,24,8,14,2,1,2
ID,5,2,6,5,7,7,5,2,1,3,2,3,2,2,17,1,1,2,10,2,1,4,13,9,14,0,1,2
CA,5,5,2,6,7,5,7,3,2,7,3,3,2,1,21,1,4,2,70,2,1,3,25,25,31,2,4,4
FI,2,5,6,6,5,7,5,5,4,6,2,1,1,2,23,1,2,1,60,2,1,2,16,12,18,1,2,2
AE,7,2,2,4,5,5,6,4,3,1,2,3,2,2,17,2,10,1,10,2,1,2,23,15,23,2,3,3
NONE,5,6,6,2,7,4,3,5,5,2,2,3,1,2,26,2,7,1,60,1,1,3,9,1,4,0,0,0
ES,7,5,7,1,7,7,7,7,7,1,3,3,2,2,43,1,4,1,60,1,1,3,4,2,1,0,0,0
AU,4,3,4,7,6,5,5,3,2,2,1,2,2,1,16,1,1,2,60,2,1,2,29,6,32,3,0,4
US,2,4,3,6,2,6,4,5,1,1,1,3,2,1,17,1,2,2,60,2,1,2,16,9,16,1,1,2
US,5,7,2,5,5,6,5,6,1,1,2,2,1,1,16,1,1,2,60,2,1,2,21,6,23,2,0,3
US,1,4,4,3,5,6,1,3,7,1,1,2,2,1,13,1,2,1,10,2,1,1,15,1,12,1,0,1
US,1,5,7,6,5,7,7,1,6,1,4,2,2,1,35,1,1,1,60,1,2,2,26,7,29,3,0,4
ID,6,5,3,5,6,5,5,4,4,4,4,3,2,2,25,1,12,1,70,2,1,2,9,10,5,0,2,0
NI,3,6,4,7,4,4,6,5,2,4,2,3,2,2,16,1,4,3,70,2,1,2,32,21,33,3,4,4
NI,5,4,4,6,4,4,6,5,2,5,2,3,2,2,16,1,4,3,70,2,1,2,28,15,25,3,3,3
DO,4,6,5,6,6,4,4,2,3,2,3,1,2,2,24,1,1,1,60,2,1,4,17,3,10,1,0,1
TR,2,2,3,1,7,7,3,7,7,1,2,3,3,2,16,1,10,3,60,2,1,1,21,14,37,2,2,4
US,3,5,5,6,2,6,6,5,2,3,2,3,2,1,18,2,2,2,70,2,1,1,25,17,33,2,3,4
DO,3,6,3,4,4,7,3,4,3,3,3,2,2,2,24,1,1,1,70,1,1,4,8,9,33,0,1,4
US,3,5,2,7,5,3,4,6,2,2,2,2,2,1,18,1,12,1,60,2,1,1,28,22,14,3,4,2
NO,1,5,6,2,4,6,2,2,6,6,2,2,1,2,23,1,1,2,60,2,1,4,2,2,2,0,0,0
GR,5,7,5,1,3,1,1,1,4,1,2,3,2,2,22,3,1,1,60,1,1,2,23,2,40,2,0,4
US,4,5,6,6,4,5,6,4,5,3,3,3,2,1,61,2,4,1,60,1,2,2,9,2,3,0,0,0
GR,2,4,1,5,6,4,3,6,6,3,3,3,2,2,21,1,1,1,60,1,1,2,20,15,13,2,3,1
IN,5,2,1,2,7,6,6,7,4,3,2,3,1,2,20,1,2,2,10,2,1,3,29,35,38,3,4,4
US,4,5,6,5,7,5,3,6,6,1,3,1,1,1,23,1,12,1,60,1,1,2,8,8,6,0,1,0
US,1,6,7,1,5,6,5,3,7,2,2,1,2,1,17,1,7,4,60,2,1,6,8,2,5,0,0,0
MY,3,5,6,6,6,7,6,5,5,6,4,3,2,2,23,1,10,0,10,2,1,4,20,14,16,2,2,2
US,2,4,3,5,2,6,3,2,6,3,1,1,3,1,16,1,1,4,60,2,1,3,27,17,33,3,3,4
US,6,5,4,1,6,1,3,5,7,2,2,2,1,1,21,1,1,1,60,2,1,3,6,1,9,0,0,0
US,5,7,2,6,6,6,2,7,1,2,4,3,2,2,26,1,1,2,50,1,1,2,20,9,18,2,1,2
US,2,5,1,6,4,6,6,5,4,4,2,2,1,1,40,1,2,1,60,1,3,2,18,9,26,1,1,3
US,7,4,6,1,6,3,4,2,6,1,2,2,1,1,18,1,7,1,30,2,1,2,0,1,0,0,0,0
US,2,1,4,5,4,6,7,3,5,1,1,2,2,1,16,1,12,1,60,2,1,2,14,17,26,0,3,3
US,3,2,6,4,6,6,7,3,6,2,3,3,2,1,20,1,2,2,60,1,1,4,27,29,39,3,4,4
DE,5,6,4,5,7,6,5,1,4,2,3,3,2,2,27,1,3,2,60,2,1,2,22,8,5,2,1,0
US,3,3,7,5,5,7,7,1,3,4,3,1,2,1,22,1,12,1,60,1,1,3,28,12,6,3,2,0
